id,id_original
1387369957260860000,1387369957260861440
1387369953628670000,1387369953628676097
1387369941054140000,1387369941054148611
1387369934896780000,1387369934896783362
1387369932036340000,1387369932036349959
1387369921839990000,1387369921839996929
1387369919747080000,1387369919747080194
1387369919243640000,1387369919243640835
1387369915217190000,1387369915217190913
1387369913933720000,1387369913933729792
1387369913115830000,1387369913115836418
1387369909265450000,1387369909265453060
1387369907793230000,1387369907793235970
1387369906560130000,1387369906560139267
1387369899853370000,1387369899853373440
1387369899492770000,1387369899492773889
1387369899299780000,1387369899299786755
1387369898809060000,1387369898809065477
1387369897609590000,1387369897609596928
1387369897009700000,1387369897009704962
1387369888520440000,1387369888520441863
1387369888432460000,1387369888432467970
1387369887773880000,1387369887773888512
1387369881801150000,1387369881801150466
1387369877011320000,1387369877011324928
1387369867276280000,1387369867276283907
1387369863069390000,1387369863069396993
1387369858917040000,1387369858917048322
1387369855163240000,1387369855163240449
1387369852705320000,1387369852705329156
1387369851845450000,1387369851845451781
1387369836758450000,1387369836758454273
1387369832807600000,1387369832807608323
1387369830232180000,1387369830232182785
1387369824381140000,1387369824381145094
1387369823307500000,1387369823307509761
1387369822783160000,1387369822783164417
1387369820602170000,1387369820602175494
1387369818211420000,1387369818211422215
1387369816621600000,1387369816621604873
1387369816248480000,1387369816248487937
1387369815883530000,1387369815883538433
1387369815648570000,1387369815648571393
1387369814943940000,1387369814943944705
1387369800318420000,1387369800318427142
1387369796828860000,1387369796828864512
1387369794438040000,1387369794438041602
1387369790906540000,1387369790906544131
1387369784552030000,1387369784552030215
1387369784224800000,1387369784224804872
1387369782119330000,1387369782119333888
1387369778885500000,1387369778885500928
1387369778092770000,1387369778092777472
1387369777530900000,1387369777530908672
1387369777501450000,1387369777501454340
1387369766592170000,1387369766592172035
1387369765002380000,1387369765002383363
1387369754810190000,1387369754810195969
1387369754726470000,1387369754726473731
1387369754273490000,1387369754273492992
1387369751442120000,1387369751442124801
1387369745083760000,1387369745083768834
1387369744081110000,1387369744081117191
1387369740998350000,1387369740998352898
1387369739970760000,1387369739970768898
1387369738175750000,1387369738175754242
1387369737542270000,1387369737542270977
1387369734841140000,1387369734841143299
1387369732639170000,1387369732639178752
1387369729443170000,1387369729443172359
1387369729250180000,1387369729250185218
1387369727618690000,1387369727618699266
1387369727014570000,1387369727014572035
1387369725336980000,1387369725336985601
1387369722384050000,1387369722384052233
1387369721230540000,1387369721230544902
1387369721222380000,1387369721222385664
1387369718177160000,1387369718177165314
1387369716893720000,1387369716893720579
1387369711734700000,1387369711734706184
1387369702809340000,1387369702809346050
1387369700280110000,1387369700280111107
1387369693552450000,1387369693552459777
1387369692843630000,1387369692843630595
1387369692382190000,1387369692382195713
1387369691824400000,1387369691824406528
1387369690113110000,1387369690113118208
1387369685545530000,1387369685545537540
1387369683217610000,1387369683217616896
1387369678591460000,1387369678591467526
1387369669338740000,1387369669338746885
1387369669128900000,1387369669128904704
1387369666528510000,1387369666528518144
1387369666054480000,1387369666054483978
1387369665031280000,1387369665031286786
1387369659603700000,1387369659603709952
1387369657280120000,1387369657280126977
1387369656860790000,1387369656860790784
1387369650346880000,1387369650346881026
1387369640033230000,1387369640033234945
1387369636623260000,1387369636623265793
1387369636249880000,1387369636249886720
1387369632500270000,1387369632500273153
1387369624967120000,1387369624967127041
1387369622085660000,1387369622085668864
1387369619405600000,1387369619405606915
1387369618981980000,1387369618981982208
1387369616322670000,1387369616322678784
1387369605044350000,1387369605044350976
1387369600531180000,1387369600531185667
1387369598027190000,1387369598027194371
1387369595175140000,1387369595175149571
1387369595099510000,1387369595099516929
1387369590003420000,1387369590003429376
1387369586203400000,1387369586203402240
1387369581203790000,1387369581203791877
1387369578418820000,1387369578418823169
1387369576246110000,1387369576246116352
1387369564816690000,1387369564816691203
1387369552363880000,1387369552363888646
1387369550702800000,1387369550702800897
1387369544310730000,1387369544310734857
1387369541030730000,1387369541030739968
1387369539378100000,1387369539378106369
1387369539374130000,1387369539374133249
1387369536479840000,1387369536479846409
1387369534986800000,1387369534986801152
1387369534718360000,1387369534718361600
1387369527948750000,1387369527948759040
1387369527827000000,1387369527827001345
1387369525713250000,1387369525713252354
1387369524622550000,1387369524622553088
1387369516888370000,1387369516888375304
1387369510710090000,1387369510710091782
1387369507790800000,1387369507790802945
1387369504020250000,1387369504020258818
1387369503055560000,1387369503055560712
1387369499901380000,1387369499901382657
1387369498743820000,1387369498743820294
1387369492800360000,1387369492800368640
1387369491990930000,1387369491990937608
1387369489218560000,1387369489218560000
1387369474513380000,1387369474513383425
1387369474236420000,1387369474236420101
1387369471476740000,1387369471476748292
1387369466061750000,1387369466061758470
1387369460458090000,1387369460458090496
1387369450567980000,1387369450567987202
1387369441902550000,1387369441902555141
1387369437821470000,1387369437821472769
1387369437817360000,1387369437817360386
1387369436516990000,1387369436516995072
1387369433392300000,1387369433392304130
1387369431601400000,1387369431601405957
1387369430498380000,1387369430498385922
1387369429139220000,1387369429139222531
1387369428896070000,1387369428896079873
1387369425381180000,1387369425381183494
1387369407932940000,1387369407932940288
1387369407857360000,1387369407857369089
1387369400060280000,1387369400060284929
1387369399741560000,1387369399741566976
1387369399343000000,1387369399343009795
1387369397992310000,1387369397992316930
1387369382339210000,1387369382339219462
1387369378908310000,1387369378908315655
1387369373862550000,1387369373862559747
1387369366899930000,1387369366899937282
1387369359727890000,1387369359727898627
1387369357580250000,1387369357580259328
1387369356447730000,1387369356447731715
1387369355499950000,1387369355499954181
1387369351687260000,1387369351687262208
1387369351179800000,1387369351179800578
1387369347883190000,1387369347883192320
1387369343147650000,1387369343147659269
1387369342917080000,1387369342917087234
1387369326181680000,1387369326181687299
1387369317730230000,1387369317730238464
1387369310268440000,1387369310268444677
1387369306002890000,1387369306002890752
1387369298725770000,1387369298725773318
1387369297140350000,1387369297140350979
1387369295320010000,1387369295320010754
1387369295072560000,1387369295072563201
1387369290723170000,1387369290723176450
1387369282418400000,1387369282418401287
1387369265003590000,1387369265003597831
1387369263166470000,1387369263166476296
1387369255184870000,1387369255184879617
1387369254840770000,1387369254840770562
1387369254689900000,1387369254689906692
1387369252378730000,1387369252378738689
1387369251535780000,1387369251535785984
1387369251409950000,1387369251409956866
1387369248033440000,1387369248033447937
1387369241561600000,1387369241561604100
1387369240240530000,1387369240240533508
1387369239384780000,1387369239384780800
1387369237186890000,1387369237186891780
1387369231948280000,1387369231948288000
1387369218014770000,1387369218014777352
1387369211639520000,1387369211639521282
1387369210943310000,1387369210943311873
1387369209487780000,1387369209487781888
1387369208049130000,1387369208049139715
1387369206954530000,1387369206954532865
1387369206195310000,1387369206195314691
1387369204861390000,1387369204861394944
1387369203615740000,1387369203615748096
1387369203439700000,1387369203439702016
1387369201929700000,1387369201929707530
1387369200570800000,1387369200570802176
1387369199333510000,1387369199333515270
1387369198846800000,1387369198846808074
1387369197991250000,1387369197991251970
1387369196321910000,1387369196321918978
1387369195055240000,1387369195055243264
1387369195055150000,1387369195055157251
1387369193801240000,1387369193801240580
1387369192459010000,1387369192459018243
1387369191267650000,1387369191267655686
1387369191183900000,1387369191183900677
1387369177225300000,1387369177225302018
1387369152499910000,1387369152499916802
1387369151396600000,1387369151396605959
