id,text,rate
1.38737E+18,"@MoHFW_INDIA @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @mygovindia @COVIDNewsByMIB @CovidIndiaSeva @DDNewslive @airnewsalerts @ICMRDELHI *Co-WIN Platform Crashes As COVID Vaccine Registrations for All Adults Goes Live; Errors in Aarogya Setu* 

.
.
.
.
.
https://t.co/SorfWUhj9S

OR

https://t.co/s1skVOTngY",neutral
1.38737E+18,".@POTUS @KamalaHarris, the world is calling on you to suspend the #patents and share the science, so that more countries can produce the life-saving @Pfizer @JNJNews &amp; @moderna_tx #COVID19 #vaccines. Everyone deserves a fair shot! #PeoplesVaccine https://t.co/BMuD9jkC63",positive
1.38737E+18,"@AmiSri Commission agents for Pfizer come in all shapes, forms and failed writers ðŸ˜…?",negative
1.38737E+18,@ABC In the 1950s America had a great medicine &amp;  surgeon general with the â€œPolio vaccine ðŸ’‰ 2021 Million of Americans are being led into a â€œVERY VERY DARK PLACE IN HISTORY OF UNPROVEN  COVID-19 VACCINES Government forcing Americans to take the â€œSHOTâ€ â˜ ï¸if it fails DOOM &amp; GLOOM ðŸ˜³,negative
1.38737E+18,"#cowinregistration... Register for COVID-19ðŸ¦ ðŸ˜·vaccine shot and do your part in Controlling this monsters which has engulfed many loved one's.. Link below ðŸ‘‡
.. https://t.co/8Q2Esbijgs https://t.co/12mjAxksC1",positive
1.38737E+18,"@mybmcWardT 2nd dose of vaccine for my mother is due in next 5 days, however not been able to schedule an appointment due to no vaccines.. she was administered with Covisheild at the Mulund jumbo covid centre.. pls help",neutral
1.38737E+18,@gore_won Iâ€™m fully vaccinated with the Pfizer vaccine and Iâ€™m not comfortable yet.,neutral
1.38737E+18,Thereâ€™s a car park like this near Oxford Rd in Manchester. https://t.co/iEEhMvJwFL,irrelevant
1.38737E+18,"Puked my guts out while violently shivering exactly 12 hours after my second moderna shot, but as long as somewhere out there dolly parton is proud of me Iâ€™ll be okay",neutral
1.38737E+18,"CoWIN, Aarogya Setu apps crash as COVID vaccine registration for 18-44 age group opens @moneycontrolcom https://t.co/ixcbugShk5",neutral
1.38737E+18,@SwampPug @CDCgov Chinese goverment is starting send free covid caccine to Chinese citizens. I had a vaccination the day before yesterday in my university. There is no dault that the benefit of vaccine is far more bigger than disadvantage.,positive
